animeTitle	Backkom
animeType	TV
animeNumEpisode	52
releaseDate	2005-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	5.8
animeUsers	824
animeRank	
animePopularity	9842
animeDescription	"A series of animated shorts centered on the fictional polar bear and main character of the same name. 

Each three-minute episode focuses on the bear's curiosity and have many moments of slapstick. Bernard never speaks with the exception of unintelligible noises.

Bernard is accompanied in the cartoons by a few other characters: Lloyd and Eva the penguins, Zack the lizard, Goliat(h) the chihuahua, Sam the baby, Pilot the dog, Pokey the porcupine and Santa Claus.

He usually gets knocked unconscious or severely injured at the end of an episode, due to some calamity caused by his bumbling.

(Source: Wikipedia)"
animeRelated	['Backkom Meogeujan Yeohaeng', 'I Love Sky', 'Backkom 2', 'Contact 2', 'I Love Picnic', 'Super Backkom', 'Backkom: Jung-gug Gijeogwi']
animeCharacters	['Bear, Bernard', 'Zack', 'Goliat', 'Eva', 'Lloyd']
animeVoices	[]
animeStaff	[]
