animeTitle	b'Ultra B'
animeType	b'TV'
animeNumEpisode	119
releaseDate	
endDate	
animeNumMembers	
animeScore	5.96
animeUsers	582
animeRank	
animePopularity	
animeDescription	"b""Ultra B (UB), is a small child from outer space who wears red sunglasses and has a star-shaped mole on his left cheek. It all began when UB's spaceship made an emergency landing in the forest. Lost and alone, UB was found by a young school boy named Michio. He was kind enough to take UB home for shelter, but only to learn that he was no ordinary child... but with supernatural powers! Thankful UB tries to use his special power to help Michio in trouble, but doesn\xe2\x80\x99t mean that it always work out well. Especially, when UB sees a scary black cat, he loses control, and\xe2\x80\xa6\n\n(Source: TV Asahi)"""
animeRelated	[b'Ultra B: Black Hole kara no Dokusaisha BB!!']
animeCharacters	[b'Ultra B']
animeVoices	[b'\nMita, Yuuko\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b""\nKoorogi '73\n\nTheme Song Performance\n\n"", b'\nFujiko, Fujio (A)\n\nOriginal Creator\n\n', b'\nOkui, Atsushi\n\nDirector of Photography\n\n', b'\nKouno, Jirou\n\nArt Director\n\n']"
