animeTitle	Kisaku Spirit
animeType	OVA
animeNumEpisode	3
releaseDate	2004-05-28 00:00:00
endDate	2005-07-22 00:00:00
animeNumMembers	2521
animeScore	6.15
animeUsers	894
animeRank	
animePopularity	8839
animeDescription	"After Kisaku died, he had a strong desire that his spirit was still wandering around. Yuri noticed a guy who resembled Kisaku, but he was actully a hard worker named Kusaki, who had a good nature and was far different from Kisaku. When they first met, Kisaku's spirit appeared and started to haunt Kusaki. Eventually Kisaku took over Kusaki. 

(Source: AnimeNfo)"
animeRelated	['Shusaku', 'Kisaku']
animeCharacters	['Itou, Kisaku']
animeVoices	['Tsuji, Shinpachi']
animeStaff	[['Yokoyama, Hiromi', 'Director, Storyboard'], ['Momoi, Osamu', 'Script'], ['Takahashi, Takeo', 'Storyboard'], ['ELF Corporation', 'Original Creator']]
