animeTitle	Genmukan
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	2195
animeRank	
animePopularity	6605
animeDescription	"Detective Satoru Kido is brought to a luxurious mansion to search for a lost jewel, but soon realizes there's more than meets the eye with the current lolita Mistress, the willing maid, the classic butler, the fugly manservant, and the sexy tutor. 

(Source: ANN)"
animeRelated	['Genmukan: Aiyoku to Ryoujoku no Inzai', 'Shinshou Genmukan']
animeCharacters	['Watase, Nozomi', 'Kido, Satoru', 'Tanimura, Kaoru', 'Imada, Kazuyoshi', 'Shibata, Jusaburou', 'Nakayama, Mei', 'Nakakouji, Ayano']
animeVoices	['Ikeda, Chigusa', 'Fujiwara, Mioko']
animeStaff	[['Tominaga, Tsuneo', 'Director'], ['Taka, Tony', 'Creator']]
