animeTitle	Fortune Quest: Yo ni mo Shiawase na Boukensha-tachi
animeType	OVA
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	6.13
animeUsers	284
animeRank	
animePopularity	11066
animeDescription	"Fortune Quest is the tale of a bunch of adventurers. Imagine your classic D&D party—Fighter, Thief, Bard, Mage, Healer ...and Porter? Okay, don't know where the Porter comes from, but Pastel and her group of adventurers are broke and need a job. They can't afford to buy any of the adventure modules from the module seller, so they have to take part-time jobs to pay off their debts. And an innocent job to fetch holy water leads to world-threatening danger ...and a white dragon.

(Source: AnimeNfo.com)"
animeRelated	['Fortune Quest', 'Fortune Quest L']
animeCharacters	['Shiro', 'S. Anderson, Clay', 'Rumy', 'Knoll', 'Kitton', 'Trapp', 'G. King, Pastel', 'Mage', 'Narrator', 'Pitt']
animeVoices	['Touma, Yumi', 'Canna, Nobutoshi', 'Nishihara, Kumiko', 'Kawazu, Yasuhiko', 'Oota, Shinichirou', 'Furukawa, Toshio', 'Kasahara, Rumi', 'Aono, Takeshi', 'Shimakata, Junko']
animeStaff	[['Tsuruyama, Osamu', 'Director'], ['Maruo, Keiko', 'Script'], ['Saitou, Miwako', 'Theme Song Performance'], ['Ishihama, Masashi', 'Key Animation']]
