animeTitle	b'Mashin Eiyuuden Wataru: Shichikon no Ryuujinmaru'
animeType	b'ONA'
animeNumEpisode	9
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Mashin Eiyuuden Wataru: Shichikon no Ryuujinmaru', b'Mashin Eiyuuden Wataru: Owarinaki Toki no Monogatari']
animeCharacters	[b'Shinobibe, Himiko', b'Ikusabe, Wataru', b'Toraou']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKoujina, Hiroshi\n\nDirector\n\n', b'\nFujino, Sadayoshi\n\nSound Director\n\n', b'\nIkeda, Shigemi\n\nArt Director\n\n', b'\nTakahashi, Nagisa\n\nAnimation Director\n\n']
