animeTitle	Hoshi wo Katta Hi
animeType	Movie
animeNumEpisode	1
releaseDate	2006-01-03 00:00:00
endDate	
animeNumMembers	
animeScore	7.02
animeUsers	523
animeRank	
animePopularity	6175
animeDescription	"A young boy, tired of the city, escapes into the country. When trying to bring vegetables to the market to sell, his cart breaks down and he exchanges the vegetables for a mystical seed. Returning home he plants the seed in a normal pot—only to find it growing into a planet.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Nona']
animeVoices	['Kamiki, Ryunosuke']
animeStaff	[['Miyazaki, Hayao', 'Director, Script, Screenplay'], ['Yasuda, Michiyo', 'Color Design'], ['Inoue, Naohisa', 'Original Creator'], ['Tsuru, Norihiro', 'Music']]
