animeTitle	Koutetsujou no Kabaneri Movie 3: Unato Kessen
animeType	Movie
animeNumEpisode	1
releaseDate	2019-05-10 00:00:00
endDate	
animeNumMembers	97445
animeScore	7.71
animeUsers	44838
animeRank	1042
animePopularity	1677
animeDescription	The movie is a continuation of the story from the original series that takes place half a year later. The original team joins an alliance to help take back the area around Unato Castle, however things do not go as planned. Will Ikoma and his friends be able to survive, or will they fall to the hordes of Kabane?
animeRelated	['Koutetsujou no Kabaneri']
animeCharacters	['Mumei', 'Ikoma', 'Yukina', 'Kurusu', 'Yomogawa, Ayame', 'Suzuki', 'Sukari', 'Kajika', 'Kibito', 'Akouji']
animeVoices	['Senbongi, Sayaka', 'Hatanaka, Tasuku', 'Ise, Mariya', 'Masuda, Toshiki', 'Uchida, Maaya', 'Powers, Maxwell', 'Oosaka, Ryouta', 'Oki, Kanae', 'Satou, Kensuke', 'Endou, Daichi']
animeStaff	[['Okada, Maiko', 'Producer'], ['Araki, Tetsurou', 'Director, Script'], ['Mima, Masafumi', 'Sound Director'], ['EGOIST', 'Theme Song Performance']]
