animeTitle	Ganbare!! Tabuchi-kun!!
animeType	Movie
animeNumEpisode	1
releaseDate	1979-11-10 00:00:00
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14744
animeDescription	"The Seibu Lions baseball team makes it to the next round of a baseball tournament thanks to the heroic efforts of its star player, Tabuchi, but the next stage will involve hard work and cooperation.

(Source: AniDB)"
animeRelated	['Ganbare!! Tabuchi-kun!!', 'Ganbare!! Tabuchi-kun!! Gekitou Pennant Race', 'Ganbare!! Tabuchi-kun!! (ONA)']
animeCharacters	['Tabuchi', 'Nemoto Kantoku', 'Miyoko']
animeVoices	['Nishida, Toshiyuki', 'Utsumi, Kenji', 'Niki, Terumi']
animeStaff	[['Shibayama, Tsutomu', 'Director'], ['Konparu, Tomoko', 'Script'], ['Tsuji, Masaki', 'Script'], ['Dezaki, Satoshi', 'Script']]
