animeTitle	Hikari no Densetsu
animeType	TV
animeNumEpisode	19
releaseDate	1986-05-03 00:00:00
endDate	1986-09-20 00:00:00
animeNumMembers	
animeScore	6.59
animeUsers	1285
animeRank	
animePopularity	7415
animeDescription	"Hikari is a young school girl who dreams of becoming a great champion in the sport of rhythmic gymnastics like her idol, Diliana Gueorguiva. Despite all her setbacks while performing, she works hard and with the help and support of Takaaki Oiishi (the best male gymnast of her school) soon becomes a member of the rhythmic gymnastics team in her school. She develops feelings for Oiishi, but she is not the only one—Hazuki Shiina, the best gymnast in the entire school, also has feelings for Oiishi. Soon a friendship between Hikari and Shiina develops, but also a rivalry as well in the sport and for the love of Oiishi. Hikari is also torn between her feelings for Oiishi and her conflicting feelings for Mao Natsukawa, an old childhood friend, who is also the lead singer of the band called Mr. D. He composes the music she uses while performing, and has been developing feelings for her since childhood.

(Source: ANN)"
animeRelated	['Hikari no Densetsu']
animeCharacters	['Kamijou, Hikari', 'Shiina, Hazuki', 'Ooishi, Takaaki', 'Natsukawa, Mao']
animeVoices	['Ito, Tsukasa', 'Tomizawa, Michie', 'Tobita, Nobuo']
animeStaff	[['Yoshida, Kenji', 'Producer'], ['Mochizuki, Tomomi', 'Director'], ['Sadamitsu, Shinya', 'Episode Director'], ['Sonoda, Hideki', 'Script, Series Composition']]
