animeTitle	b'Kkoma Bus Tayo'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""Tayo the Little Bus is about exciting adventures that are to happen in the metropolitan city where different vehicles live with harmony with one another. Tayo is just starting to learn his route in this busy city centre and on his journey, he is making many new friends. Full of unique characters that capture children's imaginations and fun storylines, the series has a lot to offer.\n\n(Source: Official YouTube channel)"""
animeRelated	[b'Kkoma Bus Tayo 2', b'Titipo Titipo']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
