animeTitle	b'Kinken Chochiku Shiobara Tasuke'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.23
animeUsers	157
animeRank	
animePopularity	
animeDescription	"b'""Industrious farmer Tasuke makes the necessary sacrifices to advance his station in life from a farmer to a store-owner. Based on a well-known kabuki tale Shiobara Tasuke ichitai-ki (The Life Story of Shiobara Tasuke), this parable about the virtues of hard work is based on a true story.""\n\n(Source: Mubi)'"
animeRelated	[]
animeCharacters	[b'Tasuke']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKimura, Hakuzan\n\nDirector\n\n']
