animeTitle	Minna Atsumare! Falcom Gakuen
animeType	TV
animeNumEpisode	13
releaseDate	2014-01-05 00:00:00
endDate	2014-03-30 00:00:00
animeNumMembers	4973
animeScore	5.9
animeUsers	1821
animeRank	9030
animePopularity	7012
animeDescription	Characters from various games released by Falcom (e.g. Dragon Slayer, The Legend of Heroes, and Ys series) come together in a school.
animeRelated	['Minna Atsumare! Falcom Gakuen', 'Ys', 'Eiyuu Densetsu: Sora no Kiseki The Animation', 'Minna Atsumare! Falcom Gakuen SC']
animeCharacters	['Bright, Estelle', 'Christin, Adol', 'Bright, Joshua', 'Bannings, Lloyd', 'Lenheim, Olivier', 'Renne', 'Plato, Tio', 'Graham, Kevin', 'Russel, Tita', 'Argent, Ries']
animeVoices	['Kanda, Akemi', 'Kaji, Yuki', 'Saiga, Mitsuki', 'Kakihara, Tetsuya', 'Koyasu, Takehito', 'Nishihara, Kumiko', 'Mizuhashi, Kaori', 'Konno, Hiromi']
animeStaff	[['Yamashita, Kenichi', 'Script'], ['Falcom Sound Team J.D.K', 'Music'], ['Arakubo, Daisuke', 'Original Creator']]
