animeTitle	b'Junjou Romantica 3'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	7.69
animeUsers	53616
animeRank	
animePopularity	
animeDescription	"b'After living together for three years, Misaki Takahashi and Akihiko ""Usagi"" Usami\'s relationship has been progressing smoothly. However, all great relationships have problems, and theirs is just beginning. With a new rival on the horizon, Usagi worries about Misaki\'s feelings towards him. \n\nMeanwhile, Ryuuichirou Isaka has always loved to intrude on Misaki and Usagi\'s love life, but his own love life hasn\'t been all smooth sailing\xe2\x80\x94Isaka and his secretary Kaoru Asahina have been dating for a few years; however, Asahina prefers to keep their professional and private lives separate, often leading to troubled waters between them.\n\nAs for Nowaki Kusama and Hiroki Kamijou, now that their careers are finally taking off, they hardly see each other anymore. With the time they spend together lessening, doubts and insecurities threaten to creep in between them. On the other hand, the 17-year age gap between Shinobu Takatsuki and You Miyagi has been a constant barrier in their relationship, but as they learn more about each other, their self-consciousness continues to fade.\n\nThe beloved couples of Junjou Romantica, Junjou Egoist, and Junjou Terrorist are back again, this time with a new addition: Junjou Mistake!\n\n[Written by MAL Rewrite]'"
animeRelated	[b'Junjou Romantica', b'Junjou Romantica 2', b'Junjou Romantica OVA']
animeCharacters	[b'Usami, Akihiko', b'Takahashi, Misaki', b'Kamijou, Hiroki', b'Kusama, Nowaki', b'Takatsuki, Shinobu', b'Miyagi, You', b'Isaka, Ryuuichirou', b'Asahina, Kaoru', b'Kirishima, Zen', b'Ijuuin, Kyou']
animeVoices	[b'\nHanada, Hikaru\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nItou, Kentarou\nJapanese\n', b'\nCanna, Nobutoshi\nJapanese\n', b'\nKishio, Daisuke\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n', b'\nOkiayu, Ryoutarou\nJapanese\n', b'\nFuruya, Toru\nJapanese\n', b'\nGouda, Hozumi\nJapanese\n']
animeStaff	"[b'\n\n\n\n\n\n', b'\nKon, Chiaki\n\nDirector\n\n', b'\nGouda, Hozumi\n\nSound Director\n\n', b'\nLuck Life\n\nTheme Song Performance\n\n', b""\nFo'xTails\n\nTheme Song Performance\n\n""]"
