animeTitle	b'Aishen Qiaokeli-ing...'
animeType	b'ONA'
animeNumEpisode	15
releaseDate	
endDate	
animeNumMembers	
animeScore	6.91
animeUsers	23539
animeRank	
animePopularity	
animeDescription	"b""Jiang Hao Yi, a normal, high school student who is extremely scared of getting into trouble suddenly becomes the Harem King of his school and gets confessed to by a bunch of beautiful girls! The worst thing is, Jiang hao doesn't know any of the girls who confessed to him! What on earth is happening?\n\n(Source: Overworld Scans)"""
animeRelated	[b'Aishen Qiaokeli-ing...II', b'Aishen Qiaokeli-ing: Wanjie Jinian']
animeCharacters	[b'Ouyang, Xueli', b'Xia, Zitong', b'Jiang, Haoyi', b'Mei, Tata', b'Tang, Xuan', b'Lin, Yuan', b'Sandy', b'Ye, Zhengdong', b'Ji, Ran']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nXiong, Ke\n\nDirector\n\n', b'\nBach, Johann Sebastian\n\nMusic\n\n']
