animeTitle	Mouryou Senki Madara
animeType	OVA
animeNumEpisode	2
releaseDate	1991-03-20 00:00:00
endDate	1991-12-20 00:00:00
animeNumMembers	
animeScore	6.07
animeUsers	640
animeRank	
animePopularity	9567
animeDescription	"Born of legendary origins, the young Madara has grown up in obscurity as an apprentice blacksmith. An encounter with the demonic Mouki reveals his destiny, and catapults him into the middle of a mystic quest. Madara fights for revenge with the help of freedom fighters, magical swords and Kirin, the master of the Majin. His goal is to defeat his brother and then overthrow his father, the despotic Miroku. 

(Source: AniDB)"
animeRelated	['Mouryou Senki Madara']
animeCharacters	['Madara', 'Jyato', 'Kirin', 'Seishinjia', 'Shamon', 'Rouga', 'Totara', 'Princess Sakuya', 'Chaos', 'Miroku']
animeVoices	['Yamaguchi, Kappei', 'Tatsuta, Naoki', 'Honda, Chieko', 'Yao, Kazuki', 'Tobita, Nobuo', 'Futamata, Issei', 'Matsuoka, Fumio', 'Shimamoto, Sumi', 'Matsumoto, Yasunori', 'Wakamoto, Norio']
animeStaff	[['Moriyama, Yuuji', 'Director, Character Design'], ['Tsurumaki, Kazuya', 'Key Animation'], ['Wada, Kaoru', 'Music'], ['Otsuka, Eiji', 'Original Creator']]
