animeTitle	Genei Toushi Bastof Lemon
animeType	TV
animeNumEpisode	26
releaseDate	2001-05-03 00:00:00
endDate	2001-11-15 00:00:00
animeNumMembers	1139
animeScore	6.13
animeUsers	259
animeRank	8037
animePopularity	10812
animeDescription	"The story takes place in the year 2097 and in the city of Xenon. An ultimate cyber game, where players fight as bio-mechanical cyber robots, has been developed. However, there's something wrong. The game's cyberspace and the real world are linked. The damage that occurs in the game's cyberspace creates destruction in the city of Xenon. This all started when players heard a painful scream, saw a ghostly face, and a powerful scent of lemon overcame them. To solve this mystery, the creator of the game assembles a ""Dream Team,"" which is the top three gamers in all of Xenon. The team is composed of rebellious and arrogant teens, who, have to overcome their attitudes and fears to find the answers, answers to the mystery that are much bigger than just the game.

(Source: Wikipedia)"
animeRelated	[]
animeCharacters	['Moderato', 'Pseudo', 'Mint', 'Bifou', 'Pudding', 'Bomb', 'Tiel']
animeVoices	['Yoshikawa, Yuuya', 'Kawahara, Yoshihisa', 'Ashiro, Megu', 'Fujimoto, Noriko', 'Itou, Shizuka']
animeStaff	[['Yamakawa, Norio', 'Producer'], ['Nakagawa, Tatsuto', 'Sound Director'], ['Ledford, John', 'Executive Producer']]
