animeTitle	Kimi no Iru Machi: Tasogare Kousaten
animeType	OVA
animeNumEpisode	2
releaseDate	2012-03-16 00:00:00
endDate	2012-06-15 00:00:00
animeNumMembers	39581
animeScore	7.22
animeUsers	18104
animeRank	2785
animePopularity	2824
animeDescription	Eba Yuzuki has mysteriously decided to go to high school in the countryside. But despite Kirishima Haruto's objections, she is living in his home. Now he has to put up with a freeloading city girl and even worse, make sure Kanzaki Nanami, the girl he likes, doesn't get the wrong idea!
animeRelated	['Kimi no Iru Machi']
animeCharacters	['Eba, Yuzuki', 'Kirishima, Haruto', 'Eba, Rin', 'Kanzaki, Nanami', 'Kaga, Akari', 'Yura, Takashi', 'Kirishima, Ms', 'Kikukawa, Kotone', 'Koba, Haruna']
animeVoices	['Nakajima, Megumi', 'Sawashiro, Miyuki', 'Yuuki, Aoi', 'Hayami, Saori', 'Kouno, Nana', 'Masuda, Toshiki', 'Shishido, Rumi', 'Mano, Erina']
animeStaff	[['Kobayashi, Hiroshi', 'Director, Episode Director, Storyboard'], ['Murakami, Momoko', 'Script'], ['Suzuki, Kiyotaka', 'Storyboard'], ['Mano, Erina', 'Theme Song Performance']]
