animeTitle	b'Tiger Mask Nisei'
animeType	b'TV'
animeNumEpisode	33
releaseDate	
endDate	
animeNumMembers	
animeScore	7.29
animeUsers	2429
animeRank	
animePopularity	
animeDescription	b'Second season to the original Tiger Mask, with a different cast of characters.'
animeRelated	[b'Tiger Mask', b'Tiger Mask W']
animeCharacters	[b'Aku, Tetsuo', b'Ariyoshi, Midori', b'Tachibana, Junko', b'Hassan, Armor', b'Rita', b'Girado', b'Reporter Ishimatsu', b'Uchuu Kamen SF', b'Reporter Saiga', b'Saiga, Mina']
animeVoices	[b'\nHori, Hideyuki\nJapanese\n', b'\nKawashima, Chiyoko\nJapanese\n', b'\nKoyama, Mami\nJapanese\n', b'\nOtsuka, Chikao\nJapanese\n', b'\nNakatani, Yumi\nJapanese\n', b'\nTanaka, Yasuo\nJapanese\n', b'\nShiozawa, Kaneto\nJapanese\n', b'\nKishino, Kazuhiko\nJapanese\n', b'\nTanaka, Hideyuki\nJapanese\n', b'\nNakajima, Chisato\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMorishita, Kouzou\n\nDirector\n\n', b'\nYamauchi, Shigeyasu\n\nEpisode Director, Storyboard\n\n', b'\nYamazaki, Kazuo\n\nEpisode Director\n\n', b'\nSekita, Osamu\n\nEpisode Director\n\n']
