animeTitle	Bonobono (TV 2016)
animeType	TV
animeNumEpisode	Unknown
releaseDate	2016-04-02 00:00:00
endDate	
animeNumMembers	
animeScore	6.38
animeUsers	625
animeRank	
animePopularity	8825
animeDescription	"Based on the original comic BONO BONO by Mikio Igarashi that has seen over 9,000,000 total copies printed, this is the definitive animated version of the emotionally soothing character-driven series that will make you ask yourself the philosophical question, ""What are living things?"" while laughing at heartwarming gags and being entertained by the interactions of amusing forest friends Bonobono the young sea otter, Chipmunk, Fishing Cat, and more.

Enjoy the easygoing days and minor misadventures of Bonobono and his friends!

(Source: Fuji Creative)"
animeRelated	['Bonobono', 'Bonobono (TV)', 'Bonobono: Uchuu kara Kita Tomodachi']
animeCharacters	['Bonobono', 'Shimarisu', 'Araiguma', 'Sunadorineko', 'Araiguma-kun no Otousan', 'Shimacchau Ojisan']
animeVoices	['Yukimiyama, Fukuko', 'Ogata, Aya', 'Takano, Shinpei', 'Kurofuji, Yuuki', 'Awazu, Takatsugu']
animeStaff	[['Yamaguchi, Hidenori', 'Director'], ['Yokota, Chikako', 'Sound Director'], ['Hirota, Mitsutaka', 'Series Composition'], ['Konno, Yasuyuki', 'Sound Effects']]
