animeTitle	b'Hetalia World Series'
animeType	b'ONA'
animeNumEpisode	48
releaseDate	
endDate	
animeNumMembers	
animeScore	7.51
animeUsers	50875
animeRank	
animePopularity	
animeDescription	"b""The pasta-loving North Italy, stalwart Germany, and timid Japan continue their misadventures through history as they reenact various events leading up to and during the Second World War. This includes the turbulent relationship between Hungary and Prussia, the War of Austrian Succession, Lithuania's early days, and the Invasion of Poland. During such tumultuous times, how will these personified nations work their way through the conflicts?\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Hetalia Axis Powers', b'Hetalia World Series Specials', b'Hetalia: The Beautiful World']
animeCharacters	[b'United Kingdom', b'North Italy', b'Russia', b'America', b'Germany', b'Japan', b'France', b'China', b'Prussia', b'South Italy']
animeVoices	[b'\nSugiyama, Noriaki\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nTakato, Yasuhiro\nJapanese\n', b'\nKonishi, Katsuyuki\nJapanese\n', b'\nYasumoto, Hiroki\nJapanese\n', b'\nTakahashi, Hiroki\nJapanese\n', b'\nOnosaka, Masaya\nJapanese\n', b'\nKaida, Yuki\nJapanese\n', b'\nKousaka, Atsushi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nShirahata, Nobuo\n\nDirector\n\n', b'\nMarchi, Jamie\n\nScript, ADR Director\n\n', b'\nHuber, Chuck\n\nScript\n\n', b'\nNamikawa, Daisuke\n\nTheme Song Performance\n\n']
