animeTitle	Huckleberry Finn Monogatari
animeType	TV
animeNumEpisode	26
releaseDate	1994-08-26 00:00:00
endDate	1995-03-03 00:00:00
animeNumMembers	1465
animeScore	6.49
animeUsers	489
animeRank	6203
animePopularity	10239
animeDescription	Based on Mark Twain's famous book about the adventures of young orphan Huckleberry Finn.
animeRelated	['Huckleberry no Bouken']
animeCharacters	['Finn, Huckleberry']
animeVoices	[]
animeStaff	[['Egami, Kiyoshi', 'Episode Director, Storyboard'], ['Taniguchi, Moriyasu', 'Episode Director, Animation Director'], ['Sokuza, Makoto', 'Storyboard'], ['Inoue, Osamu', 'Storyboard']]
