animeTitle	Yakeato no, Okashi no Ki
animeType	Special
animeNumEpisode	1
releaseDate	2006-08-15 00:00:00
endDate	
animeNumMembers	357
animeScore	
animeUsers	
animeRank	14392
animePopularity	13979
animeDescription	"The fifth film in Shin-Ei's series of annual WWII themed anime television movies for children ""Sensou Douwa"" (war story).

(Source: AniDB)"
animeRelated	['Kiku-chan to Ookami', 'Futatsu no Kurumi', 'Aoi Hitomi no Onnanoko no Ohanashi', 'Boku no Boukuugou', 'Umigame to Shounen', 'Tako ni Natta Okaasan', 'Chiisai Sensuikan ni Koi wo Shita Dekasugiru Kujira no Hanashi']
animeCharacters	['Misako', 'Taichi', 'Jirou']
animeVoices	['Omae, Akane', 'Tonguu, Kyouko', 'Matsumoto, Sachi']
animeStaff	[['Yasumi, Tetsuo', 'Director, Storyboard'], ['Ookuma, Akira', 'Sound Director'], ['Takahashi, Natsuko', 'Screenplay'], ['Nishida, Minoru', 'Art Director']]
