animeTitle	Black Jack ONA
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	553
animeRank	
animePopularity	8892
animeDescription	"Black Jack, a mysterious young unlicensed doctor with godlike skills, travels the world performing feats of impossible surgery, charging vast fees for his services, and challenging the corrupt practices of the medical establishment. This selection of stories, each adapted from a single original manga issue, focuses more on interpersonal relationships and back-story than most other Black Jack series. 

(Source: ANN)"
animeRelated	['Black Jack', 'Black Jack (TV)']
animeCharacters	['Hazama, Kuroo', 'Pinoko', 'Holmes, Rock', 'Honma, Joutarou']
animeVoices	['Ootsuka, Akio', 'Utada, Hikaru', 'Canna, Nobutoshi']
animeStaff	[['Tezuka, Osamu', 'Original Creator'], ['Oohashi, Manabu', 'Background Art']]
