animeTitle	Kyonyuu Fantasy
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.35
animeUsers	10322
animeRank	
animePopularity	3622
animeDescription	"An OVA based on the WAFFLE game. The story follows Ryuuto Hende, a soldier with unbelievable luck who was assigned to the province where a succubus is drying out men to death, and the local ""first lady"", who happens to be sexually frustrated. The H-parts show mostly a big-breasts theme and mutual love/appreciation. "
animeRelated	['Kyonyuu Fantasy']
animeCharacters	['Shahar, Shamsiel', 'Henge, Ryuuto', 'De Dejiiru, Roxanne', 'von Wackenheim, Gladys', 'Petrovna Elenskaya, Isis']
animeVoices	['Inoue, Miyu', 'Itou, Hasumi', 'Sakata, Yuki', 'Sakurai, Alice']
animeStaff	[['Waffle', 'Original Creator'], ['Q-Gaku', 'Original Character Design']]
