animeTitle	Three Workers
animeType	Music
animeNumEpisode	1
releaseDate	2011-01-01 00:00:00
endDate	
animeNumMembers	137
animeScore	
animeUsers	
animeRank	13823
animePopularity	17214
animeDescription	"An early animation by Saki Iyori for a class assignment that allows sounds to be seen. Each sound is depicted by a character. It features the song I'm 9 Today by Icelandic experimental musical group Múm from their debut studio album ""Yesterday Was Dramatic – Today Is OK""."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
