animeTitle	b'Mahou Senshi Louie'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	7993
animeRank	
animePopularity	
animeDescription	"b""Louie, a brawny student at the mage's guild, is reluctantly accepted by three girls (Merrill-thief, Genie-fighter, and Melissa-priestess) as a companion for their adventuring party. As the foursome explore ruins, battle dark creatures, and make new friends, they also uncover a sinister plot within the kingdom.\n\n(Source: ANN)"""
animeRelated	[b'Mahou Senshi Louie']
animeCharacters	[b'Louie', b'Genie', b'Merril', b'Melissa', b'Ila', b'Celecia', b'Conrad', b'Corwell, Linalim', b'Littler', b'Isabel']
animeVoices	[b'\nKonishi, Katsuyuki\nJapanese\n', b'\nTakayama, Minami\nJapanese\n', b'\nKawakami, Tomoko\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nYajima, Akiko\nJapanese\n', b'\nOrikasa, Fumiko\nJapanese\n', b'\nYamazaki, Takumi\nJapanese\n', b'\nHiramatsu, Akiko\nJapanese\n', b'\nMiki, Shinichiro\nJapanese\n', b'\nKasahara, Rumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKoyama, Yoshitaka\n\nDirector, Episode Director, Storyboard\n\n', b'\nKuzuya, Naoyuki\n\nEpisode Director, Storyboard\n\n', b'\nIshidou, Hiroyuki\n\nEpisode Director\n\n', b'\nNishimoto, Yukio\n\nStoryboard\n\n']
