animeTitle	b'Taikong Lixianji'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""In the year 2735, mankind has begun to venture into space to find a new home after Earth's environment succumbs to global warming and the bombardment of asteroids into the atmosphere. During their voyage, the Space Migration Fleet encounters an alien race from the planet Iccus. As raiders of natural resources, the aliens are bent on galactic domination. To combat the threat, six young fighters are recruited into the Sky Arrow Flight Team and are equipped with transformable Type Yi fighter planes.\n\n(Source: Wikipedia)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
