animeTitle	b'Teekyuu 3 Specials'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.5
animeUsers	4718
animeRank	
animePopularity	
animeDescription	b'Short specials included in the BD release.'
animeRelated	[b'Teekyuu 3']
animeCharacters	[b'Bandou, Marimo', b'Tomalin', b'Bandou, Mariko', b'Bolician']
animeVoices	[b'\nHanazawa, Kana\nJapanese\n', b'\nOgura, Yui\nJapanese\n', b'\nYuuki, Chisa\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nItagaki, Shin\n\nDirector, Character Design\n\n', b'\nPiyo\n\nOriginal Character Design\n\n', b'\nTerada, Tsugeo\n\nOriginal Creator\n\n']
