animeTitle	Sequence
animeType	OVA
animeNumEpisode	1
releaseDate	1992-03-18 00:00:00
endDate	
animeNumMembers	
animeScore	5.6
animeUsers	355
animeRank	
animePopularity	11124
animeDescription	"Suffering from a crippling memory loss ever since an accident at the age of six, Toshiaki finds new hope, and a new mystery, when he is visited by a girl from his own future.

(Source: The Anime Encyclopedia)"
animeRelated	['Sequence']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
