animeTitle	Bible Black Only Version
animeType	OVA
animeNumEpisode	2
releaseDate	2005-07-25 00:00:00
endDate	2006-04-25 00:00:00
animeNumMembers	
animeScore	6.77
animeUsers	8389
animeRank	
animePopularity	4279
animeDescription	"Bible Black Only explores the sexual misadventures of the supporting cast from the main Bible Black series. Miss Takashiro reminisces on her demonic capture, Itoh reveals her sadistic side, and Saeki is stalked by her classmates. Bible Black Only is a series of stand-alone episodes that do not affect the continuity of the main Bible Black series, and it contains footage that was previously only available on the R2 Bible Black Perfect Collection DVD.

(Source: ANN)"
animeRelated	['Bible Black']
animeCharacters	['Takashiro, Hiroko', 'Saeki, Kaori', 'Minase, Yukiko', 'Itou, Mika']
animeVoices	['Kanbayashi, Haruna']
animeStaff	[['Murakami, Kotaro', 'Producer'], ['Sei Shoujo', 'Original Character Design, Original Creator'], ['Yoshiten', 'Animation Director, Character Design'], ['Active', 'Original Creator']]
