animeTitle	Hitohira
animeType	TV
animeNumEpisode	12
releaseDate	2007-03-28 00:00:00
endDate	2007-06-13 00:00:00
animeNumMembers	
animeScore	6.76
animeUsers	6813
animeRank	
animePopularity	4096
animeDescription	"A transfer student Asai Mugi is a painfully shy girl. She is so shy that she can't speak when she becomes seriously nervous. However, for some reason, she is spotted and recruited as a member of the drama club.

(Source: AnimeNfo)"
animeRelated	['Hitohira']
animeCharacters	['Asai, Mugi', 'Ichinose, Nono', 'Nishida, Risaki', 'Katsuragi, Takashi', 'Nishida, Kai', 'Sakaki, Mirei', 'Tamashiro, Haruko', 'Kawasaki, Hibiki', 'Takeda, Kyousuke', 'Kakei']
animeVoices	['Kimoto, Orie', 'Kawasumi, Ayako', 'Hikami, Kyouko', 'Narita, Ken', 'Kishio, Daisuke', 'Yukino, Satsuki', 'Ueda, Kana', 'Tanaka, Akiko', 'Oosuka, Jun', 'Saitou, Chiwa']
animeStaff	[['Motohashi, Hideyuki', 'Producer, Chief Animation Director'], ['Nishimori, Akira', 'Director'], ['Tsuruoka, Youta', 'Sound Director'], ['Kitahata, Tooru', 'Episode Director, Storyboard']]
