animeTitle	Suisenzuki no Yokka
animeType	Special
animeNumEpisode	1
releaseDate	1990-01-01 00:00:00
endDate	
animeNumMembers	184
animeScore	
animeUsers	
animeRank	13586
animePopularity	16310
animeDescription	"When Narcissus's begin to bloom, 
Spring is just around the corner.
But today is the fourth of the Narcissus Month, 
the day of Winter's last icy breath...

The original story of this film was written by Kenji Miyazawa, the most famous fairy-tale writer and poet in Japan.

(Source: Official website)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
