animeTitle	Senkou no Night Raid: Yogen
animeType	Special
animeNumEpisode	1
releaseDate	2010-05-18 00:00:00
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	1739
animeRank	
animePopularity	7811
animeDescription	A recap of Senkou no Night Raid up to the 6th episode, aired on TV instead of the real episode 7 which was broadcast online.
animeRelated	['Senkou no Night Raid']
animeCharacters	['Miyoshi, Aoi', 'Iha, Kazura', 'Sonogi, Yukina', 'Kagiya, Natsume', 'Kuse', 'Takachiho, Isao', 'Yusa, Shizune', 'Sakurai, Shinichirou']
animeVoices	['Yoshino, Hiroyuki', 'Namikawa, Daisuke', 'Ikuta, Yoshiko', 'Hoshino, Takanori', 'Miyauchi, Atsushi', 'Hirata, Hiroaki', 'Kawasumi, Ayako', 'Oobayashi, Ryuusuke']
animeStaff	[['Sasaki, Keigo', 'Character Design']]
