animeTitle	Digimon Tamers
animeType	TV
animeNumEpisode	51
releaseDate	2001-04-01 00:00:00
endDate	2002-03-31 00:00:00
animeNumMembers	174231
animeScore	7.63
animeUsers	107770
animeRank	1236
animePopularity	1008
animeDescription	"Digimon Tamers takes place in a world where the popular Digimon franchise is all the rage, consisting of a cartoon, video games, and the trading card game. Takato Matsuda is a huge Digimon fan that's particularly obsessed with the card game, and constantly daydreams about the universe therein. One day, he finds a mysterious blue card, which he slides through a scanner toy to use in the popular battle game. His toy suddenly glows and transforms into a Digivice, and Takato's fan-made design, Guilmon, materialises in front of him. Thrilled by the prospect of having a real-life Digimon, Takato embraces his new partner, and his adventures as a Digimon Tamer begin.

Takato quickly discovers that being a Digimon Tamer is not all fun and games—in reality, it's much more dangerous than the card games he's accustomed to. Wild Digimon have begun to appear all across Japan, causing rampages that result in chaos and mayhem. Armed with his Digivice, which can scan trading cards to strengthen Guilmon, Takato and his new partner set out to combat the rogue Digimon. They are tasked with protecting the world from Digimon attacks, whilst a mysterious organization determined to eliminate all Digimon and their Tamers lurks in the shadows... "
animeRelated	['Digimon Tamers', 'Digimon Adventure', 'Digimon Savers', 'Digimon Frontier', 'Digimon Adventure 02', 'Digimon Xros Wars', 'Digimon Tamers: Boukensha-tachi no Tatakai', 'Digimon Tamers: Bousou Digimon Tokkyuu']
animeCharacters	['Makino, Ruki', 'Impmon', 'Renamon', 'Terriermon', 'Guilmon', 'Matsuda, Takato', 'Li, Jianliang', 'Culumon', 'Beelzebumon', 'Katou, Juri']
animeVoices	['Orikasa, Fumiko', 'Takahashi, Hiroki', 'Imai, Yuka', 'Tada, Aoi', 'Nozawa, Masako', 'Tsumura, Makoto', 'Yamaguchi, Mayumi', 'Kaneda, Tomoko', 'Asada, Yoko']
animeStaff	[['Seki, Hiromi', 'Producer'], ['Kimura, Kyotaro', 'Producer'], ['Kaizawa, Yukio', 'Director'], ['Kakudou, Hiroyuki', 'Episode Director']]
