animeTitle	True Love Story
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.02
animeUsers	1460
animeRank	
animePopularity	7310
animeDescription	"When Morisaki Yuuta ran into a girl in the school hallway that day, he had no idea his life would change forever. As a member of the photography club and a fledgling to the world of women, Yuuta's life has been turned upside down by the entrance of not one, but several women into his life! From old friends to new acquaintances, it will be tough figuring out who to choose!

 It is based on the latest installment of the True Love Story series of dating sims."
animeRelated	[]
animeCharacters	['Kusunose, Hina', 'Morisaki, Yuuta', 'Kiriya, Satomi', 'Morisaki, Ruri']
animeVoices	['Kuwatani, Natsuko', 'Arai, Takayuki', 'Sasajima, Kaoru', 'Morota, Kaoru']
animeStaff	[['Ueda, Hidehito', 'Director, Storyboard'], ['Hayashi, Naotaka', 'Script'], ['Kuwatani, Natsuko', 'Theme Song Performance'], ['Katahira, Shinji', 'Art Director']]
