animeTitle	Sword Gai The Animation Part II
animeType	ONA
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.75
animeUsers	11701
animeRank	
animePopularity	3796
animeDescription	Part II of Sword Gai: The Animation.
animeRelated	['Sword Gai', 'Sword Gai The Animation']
animeCharacters	['Ogata, Gai', 'Himiko', 'Matoba, Shin', 'Ogata, Sayaka', 'Ichijou, Seiya', 'Ariga, Issei', 'Kazumo', 'Kagami, Kyouka', 'Tanaka, Yasuko', 'Kiyomi']
animeVoices	['Uemura, Yuuto', 'Uchida, Maaya', 'Shimazaki, Nobunaga', 'Aisaka, Yuuka', 'Satou, Rina', 'Takano, Urara']
animeStaff	[['Ikezoe, Takahiro', 'Director'], ['Tomohito, Naka', 'Director'], ['Kameyama, Toshiki', 'Sound Director'], ['Uemura, Yuuto', 'Theme Song Performance']]
