animeTitle	b'Elsword: Ain-ui Gieog Animation'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.1
animeUsers	803
animeRank	
animePopularity	
animeDescription	"b""This was the Secret Video that was shown in Anime premiere event. It tells the story of, Ain, a secretive timekeeper during the events of Elsword: El-ui Yeoin's first episode.\n\n(Source: 2nafish)"""
animeRelated	[b'Elsword: El-ui Yeoin']
animeCharacters	[b'Ishmael, Ainchase', b'Grenore, Edward', b'Aisha, Landar', b'Eve', b'Elsword', b'Cronwell, Raven', b'Erindel, Rena', b'Seiker, Prince']
animeVoices	[]
animeStaff	[]
