animeTitle	b'Tales of Crestoria'
animeType	b'ONA'
animeNumEpisode	4
releaseDate	
endDate	
animeNumMembers	
animeScore	5.99
animeUsers	279
animeRank	
animePopularity	
animeDescription	"b'The Bandai Namco concept movies for Tales of Crestoria. It is promoting the new mobile RPG game. While part of the ""Tales of..."" franchise, the game will feature original characters and story, to act as an entrance into the franchise for new fans who have no yet partaken in any of the anime/manga/video games of the franchise. The main theme of the work is ""sin"" and follows people who are living for their precious things while being chased by those who want to convict them for their sins.'"
animeRelated	[b'Tales of Crestoria: Toga Waga wo Shoite Kare wa Tatsu', b'Tales Of Crestoria Off Shot Movie']
animeCharacters	[b'Misella', b'Hjuger, Kanata']
animeVoices	[]
animeStaff	[]
