animeTitle	Ikkyuu-san
animeType	TV
animeNumEpisode	296
releaseDate	
endDate	
animeNumMembers	
animeScore	6.77
animeUsers	583
animeRank	
animePopularity	9780
animeDescription	Ikkyu is a little boy training to be a monk at Ankokuji Temple. Known for being mischievous and a bit of a troublemaker, but also extremely smart, Ikkyu constantly thinks of new ways to outwit his frustrated teachers, helping others at the same time. 
animeRelated	['Ikkyuu-san to Yancha Hime', 'Ikkyuu-san: Haru Da! Yancha Hime', 'Ikkyuu-san: Ooabare Yancha-hime', 'Congming de Yixiu Zhi Fan Dou Gongzhu']
animeCharacters	['Sayo-chan', 'Ikkyuu', 'Narrator', 'Tessai']
animeVoices	['Fujita, Toshiko', 'Masuyama, Eiko', 'Inoue, Kazuhiko']
animeStaff	[['Yabuki, Kimio', 'Director'], ['Nitta, Yoshikata', 'Director'], ['Imazawa, Tetsuo', 'Episode Director'], ['Nagaki, Bonjin', 'Episode Director']]
