animeTitle	Aoi Umi to Shounen
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.53
animeUsers	102
animeRank	
animePopularity	13782
animeDescription	The friendship between Hiroshi from Japan and Adel from the South Pacific island the two live on is severely tested when Adel finds out that his grandfather was killed in a battle with the Japanese army. Will Adel forget their quarrel when Hiroshi's life is in danger?
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
