animeTitle	Ofuroya-san e Tsuretette
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	17933
animeDescription	Music video for the song Ofuroya-san e Tsuretette by Yuuta Hashizume and the NHK Tokyo Children's Choir (NHK Tokyo Jidou Gasshoudan) that was featured on NHK's Minna no Uta program. The video was animated by Hiroshi Kuzuoka.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
