animeTitle	Dragon Ball Z: Atsumare! Gokuu World
animeType	OVA
animeNumEpisode	1
releaseDate	1992-01-28 00:00:00
endDate	
animeNumMembers	
animeScore	6.46
animeUsers	8703
animeRank	
animePopularity	4067
animeDescription	Dragon Ball Z: Atsumare! Goku's World is a Terebikko's videogame. In this OVA, Goku and his friends pose questions for the viewers about the Dragon Ball series.
animeRelated	['Dragon Ball Z']
animeCharacters	['Son, Gokuu', 'Son, Gohan', 'Future Trunks', 'Kuririn', 'Vegeta', 'Freeza', 'Bulma', 'Muten-Roushi', 'Cell', 'Piccolo Daimao']
animeVoices	['Nozawa, Masako', 'Kusao, Takeshi', 'Tanaka, Mayumi', 'Horikawa, Ryo', 'Nakao, Ryusei', 'Tsuru, Hiromi', 'Miyauchi, Kouhei', 'Wakamoto, Norio', 'Aono, Takeshi']
animeStaff	[]
