animeTitle	Aioi Ai oi
animeType	Special
animeNumEpisode	2
releaseDate	2017-02-04 00:00:00
endDate	2018-05-03 00:00:00
animeNumMembers	
animeScore	5.15
animeUsers	131
animeRank	
animePopularity	14876
animeDescription	"Asami Ike's created two works for the Zenkou-ji Monzen Eizou-sai (Zenkou-ji Monzen Film Festival). The event is organized by the Shinano Art Museum. The first ""Aioi Ai oi Zenkouji-san"" was an animated art piece projected onto the side of the theater where the festival was being held. The second ""Aioiaioiaioi"" is an animated short promoting the event (though uploaded a year later)."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
