animeTitle	Penguin's Memory: Shiawase Monogatari
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.05
animeUsers	998
animeRank	
animePopularity	8222
animeDescription	"Mike is a penguin soldier who returns home after being injured during combat. Estranged from his family and friends, he leaves his hometown and starts to roam adrift through the country.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Mike', 'Jill', 'Jack', 'Tom', 'Al', 'The Judge', 'The Pianist', 'Susan', 'Helen', 'Adams, Bob']
animeVoices	['Tsuru, Hiromi', 'Miyauchi, Kouhei', 'Tokoro, George', 'Masuyama, Eiko', 'Nakanishi, Taeko']
animeStaff	[['Moriwaki, Makoto', 'Storyboard'], ['Hikone, Norio', 'Storyboard, Original Character Design'], ['Kanemori, Yoshinori', 'Animation Director, Character Design'], ['Nagaoka, Akinori', 'Chief Animation Director']]
