animeTitle	Zenonzard The Animation
animeType	ONA
animeNumEpisode	9
releaseDate	2020-01-31 00:00:00
endDate	2020-10-31 00:00:00
animeNumMembers	15246
animeScore	5.99
animeUsers	2374
animeRank	8683
animePopularity	4491
animeDescription	"Hinaria is unemployed, gaming every day. One day she decides to hack the servers belonging to the Beholder Group for some money, and she stumbles across a carefully secured record of two witches, Alice and Rimel. The two women wished to coexist with mankind, and the history they experienced is connected to the modern ZENONZARD.

(Source: Official Site)"
animeRelated	['Zenonzard The Animation Episode 0']
animeCharacters	['Lash, Eilietta', 'Azuma, Souta', 'Saionji, Shion', 'Claude, Ash', 'Darkend, Hinaria', 'Yorraiha, Yorusuke', 'Minamino, Ruri', 'Alice', 'Nillon, Nonoin', 'Aubreykahn, Hughtlom']
animeVoices	['Hayami, Saori', 'Shimazaki, Nobunaga', 'Han, Megumi', 'Umehara, Yuuichirou', 'Takahashi, Rie', 'Tachibana, Shinnosuke', 'Taichi, You', 'Kondou, Reina', 'Fujiwara, Keiji']
animeStaff	[['Oikawa, Kei', 'Director'], ['Hamano, Takatoshi', 'Sound Director'], ['Fudeyasu, Kazuyuki', 'Script'], ['Shimizu, Satoshi', 'Storyboard']]
