animeTitle	b'Awake'
animeType	b'Special'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.2
animeUsers	317
animeRank	
animePopularity	
animeDescription	"b""The first episode served as the opening animation for 1984's SciFi convention named Uru Matsuri III (\xe3\x82\xa6\xe3\x83\xab\xe7\xa5\xad\xe2\x85\xa2) and it follows the style of the Daicon openings. The video consists of two primary fixations of the Japanese otaku culture in the 80s - scifi and lolis. The 2nd episode is only known to have been released in 1987. \n\n(Source: AniDB)"""
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
