animeTitle	b'Seitokai Yakuindomo OVA'
animeType	b'OVA'
animeNumEpisode	8
releaseDate	
endDate	
animeNumMembers	
animeScore	7.78
animeUsers	59175
animeRank	
animePopularity	
animeDescription	"b""It is the start of Takatoshi Tsuda's second year as the put-upon vice president of the student council and his sister Kotomi is entering school as a first year. New friends and double entendres are made.\n\n(Source: ANN)"""
animeRelated	[b'Seitokai Yakuindomo', b'Seitokai Yakuindomo*']
animeCharacters	[b'Amakusa, Shino', b'Hagimura, Suzu', b'Tsuda, Takatoshi', b'Shichijou, Aria', b'Hata, Ranko', b'Uomi, Chihiro', b'Mitsuba, Mutsumi', b'Yokoshima, Naruko', b'Tsuda, Kotomi', b'Dejima, Sayaka']
animeVoices	[b'\nHikasa, Youko\nJapanese\n', b'\nYahagi, Sayuri\nJapanese\n', b'\nAsanuma, Shintaro\nJapanese\n', b'\nSatou, Satomi\nJapanese\n', b'\nArai, Satomi\nJapanese\n', b'\nSaitou, Chiwa\nJapanese\n', b'\nOmigawa, Chiaki\nJapanese\n', b'\nKobayashi, Yuu\nJapanese\n', b'\nShimoda, Asami\nJapanese\n', b'\nTamura, Mutsumi\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakanishi, Go\n\nProducer\n\n', b'\nKanazawa, Hiromichi\n\nDirector\n\n', b'\nTanaka, Ryou\n\nSound Director\n\n', b'\nKikuta, Kouichi\n\nEpisode Director, Storyboard, Animation Director, Key Animation\n\n']
