animeTitle	Saibi
animeType	Movie
animeNumEpisode	1
releaseDate	2013-11-21 00:00:00
endDate	
animeNumMembers	
animeScore	6.7
animeUsers	1014
animeRank	
animePopularity	7621
animeDescription	"Who is good and who is evil? What is the boundary between them? An animated thriller about the tension between a good-hearted person speaking falsely and an evil-natured person speaking truthfully, and of those that surround them.

(Source: Hancinema)"
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
