animeTitle	b'Boku no Sexual Harassment'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	8659
animeRank	
animePopularity	
animeDescription	b'Mochizuki is a young business man who works in an office. While doing his job, his boss, Honma, comes in and starts to fondle him. Honma says that Mochizuki should be expected to do stuff so he can climb the ladder to become a successful business man. Mochizuki then starts to sleep with other men so he can become successful. Some men think Mochizuki is sexy, so they then force themselves onto Mochizuki. \n\n(Source: ANN)'
animeRelated	[b'Boku no Sexual Harassment']
animeCharacters	[b'Honma, Kazunori', b'Mochizuki, Junya', b'Emily', b'Annette', b'Fujita, Yohei']
animeVoices	[b'\nKosugi, Juurouta\nJapanese\n', b'\nKashiwakura, Tsutomu\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nShimamura, Kaoru\nJapanese\n', b'\nMorikawa, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKageyama, Shigenori\n\nDirector\n\n', b'\nFujiyama, Fusanobu\n\nSound Director\n\n', b'\nKodaka, Kazuma\n\nOriginal Creator\n\n', b'\nTakahashi, Takeo\n\nKey Animation, In-Between Animation, Animation Check\n\n']
