animeTitle	b'Golden Boy'
animeType	b'OVA'
animeNumEpisode	6
releaseDate	
endDate	
animeNumMembers	
animeScore	8.02
animeUsers	162110
animeRank	
animePopularity	
animeDescription	"b""Kintarou Ooe is a specialist in part-time work, riding all over the highways and byways of Japan on his trusty steed, the Mikazuki 5, and finding employment wherever he can. His adventures bring him knowledge and experience that can't be taught in a classroom, from political corruption to the delicacy of a young woman's heart. With nothing but the open road before him\xe2\x80\x94not to mention the many beautiful women along the way\xe2\x80\x94Kintarou pursues his spirit of education while attempting to hold down his various odd jobs, however undignified they may be. As he learns from each task he takes on, who knows what could happen? He might even be able to save the world one day. One thing is for sure\xe2\x80\x94this will all be very educational!\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Golden Boy']
animeCharacters	"[b'Ooe, Kintarou', b'Madame President', b'Terayama, Reiko', b'Hayami, Ayuko', b'Katsuda, Naoko', b'Chie', b'Employee E', b'Employee A', b""Noriko's Father"", b'Employee C']"
animeVoices	[b'\nIwata, Mitsuo\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nTamagawa, Sakiko\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nKanai, Mika\nJapanese\n', b'\nMatsumura, Hikojiro\nJapanese\n', b'\nTakahashi, Miki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nGreenfield, Matt\n\nProducer, Script, ADR Director\n\n', b'\nKitakubo, Hiroyuki\n\nDirector, Sound Director, Episode Director, Storyboard, Theme Song Lyrics\n\n', b'\nKikuchi, Yasuhito\n\nEpisode Director, Storyboard, Animation Director, Key Animation\n\n', b'\nIso, Mitsuo\n\nKey Animation\n\n']
