animeTitle	b'Sorette\xe2\x99\xa1Dakara ne!'
animeType	b'ONA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.01
animeUsers	867
animeRank	
animePopularity	
animeDescription	"b""Anime featuring the idol group AGC38. It is set in the classes of the Musashi Asahigaoka Girls' Academy that the girls attend."""
animeRelated	[]
animeCharacters	[b'Nagaya, Akane', b'Arisawa, Misuzu', b'Saiga, Kurumi']
animeVoices	[b'\nWatanabe, Yuka\nJapanese\n', b'\nKoike, Yuki\nJapanese\n', b'\nKiritani, Choucho\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKashimura, Satoshi\n\nExecutive Producer\n\n', b'\nNakanishi, Yasuhiro\n\nDirector of Photography\n\n']
