animeTitle	Kyoukai no Rinne
animeType	Special
animeNumEpisode	1
releaseDate	2009-10-03 00:00:00
endDate	
animeNumMembers	5188
animeScore	6.26
animeUsers	1566
animeRank	7386
animePopularity	6905
animeDescription	Kyoukai no Rinne commercial aired during Inuyasha Kanketsu-hen with different voice actors than in the TV Series.
animeRelated	['Kyoukai no Rinne', 'Kyoukai no Rinne (TV)']
animeCharacters	['Rokudou, Rinne', 'Mamiya, Sakura', 'Rokumon']
animeVoices	['Uchiyama, Kouki', 'Ise, Mariya', 'Kugimiya, Rie']
animeStaff	[['Takahashi, Rumiko', 'Original Creator']]
