animeTitle	b'Hoshi no Kirby: Pilot'
animeType	b'Special'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.63
animeUsers	904
animeRank	
animePopularity	
animeDescription	b'Pilot episode for Kirby: Right Back At Ya!\n\nThe episode begins with a mysterious pink creature, Kirby, crash landing his starship on a foreign planet, Popstar. '
animeRelated	[b'Hoshi no Kirby']
animeCharacters	[b'Kirby', b'King Dedede', b'Fumu', b'Meta Knight']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nSakurai, Masahiro\n\nOriginal Creator\n\n']
