animeTitle	Tobira wo Akete
animeType	Movie
animeNumEpisode	1
releaseDate	1986-11-01 00:00:00
endDate	
animeNumMembers	2021
animeScore	5.77
animeUsers	623
animeRank	9466
animePopularity	9410
animeDescription	"In modern day Tokyo, three university students, Negishi Miyako (Neko-chan), Saiki Haruka, and Yamagishi Keiichiro, have magical powers that make them feel like outcasts. They come together one night and are transported to another world. They open a massive door and Neko finds that she is the Princess Neryulla, who must defeat the evil Duran III to free her people. 

(Source: AniDB)"
animeRelated	[]
animeCharacters	['La Midin, Dimida', 'Yamagishi, Keichiirou', 'Saiki, Haruka', 'Negishi, Miyako', 'Neryulla', 'Towado', 'Ladin']
animeVoices	['Hirano, Fumi', 'Satou, Masamichi', 'Inoue, Kazuhiko', 'Fujimoto, Kyoko', 'Katsuki, Masako', 'Shimada, Bin', 'Nozawa, Nachi']
animeStaff	[['Shimizu, Keizou', 'Director'], ['Takemiya, Keiko', 'Planning'], ['Arai, Torao', 'Art Director'], ['Shibuichi, Setsuko', 'Character Design']]
