animeTitle	b'Youkoso Uchuujin'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.37
animeUsers	191
animeRank	
animePopularity	
animeDescription	b'Stop motion animation of aliens on a guided tour around an amusement park. \n\n(Source: AniDB) '
animeRelated	[b'Fushigi na Kusuri']
animeCharacters	[b'Hakase']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOkamoto, Tadanari\n\nDirector\n\n', b'\nHoshi, Shinichi\n\nOriginal Creator\n\n']
