animeTitle	b'Huo Xing Wa: Yi Zhi Bao'
animeType	b'TV'
animeNumEpisode	52
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Huo Xing Wa: Jiankang Chengzhang', b'Huo Xing Wa: Yong Chuang Mo Jing Dao', b'Huo Yan Zhan Shi', b'Huo Xing Wa: Yuzhou Yaoshi', b'Huoxing Wa: Zhi Gudai Dajia Gushi', b'Jin Mu Shui Huo Tu', b'Huo Xing Wa: Xue Han Zi', b'Huo Xing Wa: Yewai Da Maoxian', b'Huo Xing Wa: Dazhan Ha Lou Guai', b'Huo Xing Wa: Maoxian Leyuan', b'Huo Xing Wa: Yinghan Leyuan - Nengliang Mofang', b'Xiao Xiao Zhihui Wu', b'Zhihui Mima']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
