animeTitle	Soukou Kihei Votoms: Case;Irvine
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	1187
animeRank	
animePopularity	8679
animeDescription	Irvine Lester is an AT repairman. In order to make a living with his sister, he is secretly fighting in AT gambling matches and intentionally losing the games for money. But the other fighters find out about his excellent AT maneuvering skills and demand a real match.
animeRelated	['Soukou Kihei Votoms', 'Soukou Kihei Votoms: Case;Irvine - Tenmatsu']
animeCharacters	['Irvine', 'Ishruna', 'Paygun', 'Dona']
animeVoices	['Hirakawa, Daisuke', 'Endou, Aya', 'Fukuyama, Jun', 'Toyosaki, Aki']
animeStaff	[['Igarashi, Shishou', 'Director'], ['Tanaka, Kazuya', 'Sound Director'], ['Takahashi, Ryousuke', 'Original Creator'], ['Hayashi, Yuuichirou', 'Key Animation']]
