animeTitle	b'Sore Ike! Anpanman: Tsumiki Shiro no Himitsu'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Sore Ike! Anpanman']
animeCharacters	[b'Anpanman', b'Baikinman', b'Currypanman', b'Cheese', b'Dokin-chan', b'Oji-san, Jam', b'Shokupanman', b'Princess Olga', b'Batako-san', b'Block Ouji']
animeVoices	[b'\nToda, Keiko\nJapanese\n', b'\nNakao, Ryusei\nJapanese\n', b'\nYanagisawa, Michiyo\nJapanese\n', b'\nYamadera, Kouichi\nJapanese\n', b'\nTsuru, Hiromi\nJapanese\n', b'\nMasuoka, Hiroshi\nJapanese\n', b'\nShimamoto, Sumi\nJapanese\n', b'\nMinaguchi, Yuko\nJapanese\n', b'\nSakuma, Rei\nJapanese\n', b'\nIkura, Kazue\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYanase, Takashi\n\nTheme Song Lyrics, Original Creator\n\n', b'\nOotani, Kazuo\n\nTheme Song Arrangement\n\n', b'\nIzumi, Taku\n\nMusic\n\n']
