animeTitle	JA Kumamoto Keizairen
animeType	ONA
animeNumEpisode	2
releaseDate	2016-05-16 00:00:00
endDate	2019-10-31 00:00:00
animeNumMembers	
animeScore	5.92
animeUsers	155
animeRank	
animePopularity	13939
animeDescription	"The Kumamoto Prefecture Agricultural Cooperative Union's website began streaming an anime commercial titled 'Nikoyaka Shokudou' (Smiling Restaurant) on Wednesday. The commercial is intended to highlight produce grown in the prefecture, including meat (niku), rice (kome), vegetables (yasai), and fruit (kajitsu). The first characters of each of the words spell ""nikoyaka"" (smiling)."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
