animeTitle	Megane no Megami
animeType	OVA
animeNumEpisode	2
releaseDate	2019-05-31 00:00:00
endDate	2019-06-07 00:00:00
animeNumMembers	6489
animeScore	7.3
animeUsers	2656
animeRank	
animePopularity	6336
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Megane no Megami']
animeCharacters	['Natsume', 'Kurumizawa, Hitomi']
animeVoices	[]
animeStaff	[['Raika, Ken', 'Director'], ['Katsura, Yoshihiro', 'Original Creator']]
