animeTitle	Pingu in the City
animeType	TV
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	6.52
animeUsers	15367
animeRank	
animePopularity	2832
animeDescription	"Pingu and his family move from their small village to the big city; in which there are many people with many different occupations. The ever-curious Pingu tries to join them at their jobs, but his mischievous side gets the better of him and he ends up messing things up.

(Source: ANN)"
animeRelated	['Pingu in the City (2018)']
animeCharacters	['Pingu', 'Robby', 'Pinga', 'Pikuru']
animeVoices	[]
animeStaff	[['Iwata, Naomi', 'Director'], ['Asai, Shingo', 'Episode Director, Storyboard'], ['Ueno, Kimiko', 'Script'], ['Tanabe, Shigenori', 'Script']]
