animeTitle	To Heart 2 Special
animeType	Special
animeNumEpisode	1
releaseDate	2005-12-24 00:00:00
endDate	
animeNumMembers	
animeScore	6.35
animeUsers	1169
animeRank	
animePopularity	7947
animeDescription	Special recap episode #11.5.
animeRelated	['To Heart 2']
animeCharacters	['Kousaka, Tamaki', 'Yuzuhara, Konomi', 'Misora, Lucy Maria', 'Tonami, Yuma', 'Sasamori, Karin', 'Yuzuhara, Haruka']
animeVoices	['Itou, Shizuka', 'Hase, Yurina']
animeStaff	[['Aquaplus', 'Original Creator']]
