animeTitle	Wooser no Sono Higurashi: Mugen-hen
animeType	TV
animeNumEpisode	13
releaseDate	2015-07-03 00:00:00
endDate	2015-09-25 00:00:00
animeNumMembers	
animeScore	6.57
animeUsers	1915
animeRank	
animePopularity	7408
animeDescription	"The zany and cute-but-crude Wooser returns for another season in Wooser’s Hand-to-Mouth Life: Phantasmagoric Arc! Wooser is a creature that only cares about three things in life: meat, money, and girls.

(Source: Crunchyroll, edited)"
animeRelated	['Wooser no Sono Higurashi: Kakusei-hen']
animeCharacters	['Wooser', 'Darth Wooser', 'Len', 'Rin', 'Miss Monochrome', 'Yuu', 'HIME', 'Oshirase Wooser', 'Miho']
animeVoices	['Miyano, Mamoru', 'Kamiya, Hiroshi', 'Nagamune, Haruka', 'Ozawa, Minori', 'Horie, Yui', 'Tia', 'Tamura, Yukari', 'Sato, Yuri']
animeStaff	[['Mizushima, Seiji', 'Director'], ['Koizumi, Kisuke', 'Sound Director'], ['Urobuchi, Gen', 'Script'], ['Kodaka, Kazutaka', 'Script']]
